                 Q-tabell                       State Space
        Q1        Q2        Q3		   k1   k2   k3   k4   k5   k6
      1.00      1.00      0.00		    0    1    1    1    2    3
      1.00      1.00      2.00		   -0    0   -0    1    1    2
      3.00      1.00      1.00		    3   -0   -0   -1    1    1
      2.00      3.00      1.00		    1    4    0    0    0    1
      1.00      2.00      3.00		    1    1    5    0    0    0
      1.00      1.00      3.00		    0    0    0    0    0    0
      0.00      1.00      1.00		    3    0    0    0    1    0
      0.00      0.00      1.00		    1    3    0    0    0    2
      0.00      0.00      0.00		    1    1    3    0    0    0
      3.00      0.00      0.00		    0    1    1    3    0    0
      0.00      4.00      0.00		    0    0    1    1    3    0
      0.00      0.00      5.00		    0    0    0    1    1    3
      0.00      0.00      1.00		    0    0    0    0    1    1
      3.00      0.00      0.00		    1    1    0    0    0    1
      1.00      3.00      0.00		    0    1    2    0    0    0
      1.00      1.00      3.00		    0    0    1    3    0    0
      0.00      1.00      1.00		    3    0    0    1    4    0
      0.00      0.00      1.00		    1    3    0    0    1    5
      0.00      0.00      0.00		    1    1    3    0    1    0
      0.00      0.00      0.00		    0    1    1    3    0    1
      0.00      1.00      0.00		    0    0    1    1    3    0
      1.00      0.00      2.00		    0    0    0    1    1    3
      0.00      1.00      0.00		    3    0    0    0    1    1
      3.00      0.00      1.00		    0    4    0    0    0    1
      1.00      3.00      0.00		    1    0    5    0    0    0
      1.00      1.00      3.00		    0    1    1    0    0    0
      0.00      1.00      1.00		    3    0    1    1    1    0
      0.00      0.00      1.00		    1    3    0    1    1    2
      0.00      0.00      0.00		    1    1    3    0    1    1
      3.00      0.00      0.00		    0    1    1    3    0    1
      1.00      4.00      0.00		    0    0    1    1    3    0
      1.00      1.00      5.00		    0    0    0    1    1    3
      1.00      0.00      0.00		    0    0    0    0    1    1
      3.00      1.00      0.00		    0    1    0    0    0    1
      1.00      3.00      1.00		    0    0    2    0    0    0
      1.00      1.00      3.00		    1    0    0    3    0    0
      0.00      1.00      1.00		    3    1    0    0    4    0
      0.00      0.00      1.00		    1    3    1    0    0    5
      0.00      0.00      0.00		    1    1    3    1    0    1
      0.00      0.00      0.00		    0    1    1    3    1    0
      1.00      1.00      0.00		    0    0    1    1    3    1
      0.00      1.00      2.00		    0    0    0    1    1    3
      1.00      0.00      1.00		    3    0    0    0    1    1
      3.00      1.00      0.00		    1    4    0    0    0    1
      1.00      3.00      1.00		    0    1    5    0    0    0
      1.00      1.00      3.00		    1    1    0    0    0    0
      0.00      1.00      1.00		    3    1    1    0    1    0
      0.00      0.00      1.00		    1    3    1    1    0    2
      0.00      0.00      0.00		    1    1    3    1    1    0
      3.00      0.00      0.00		    0    1    1    3    1    1
      0.00      4.00      0.00		    0    0    1    1    3    1
      1.00      0.00      5.00		    0    0    0    1    1    3
      1.00      1.00      1.00		    0    0    0    0    1    1
      3.00      1.00      1.00		    1    1    0    0    0    1
      1.00      3.00      1.00		    1    1    2    0    0    0
      1.00      1.00      3.00		    1    1    1    3    0    0
      0.00      1.00      1.00		    3    1    1    1    4    0
      0.00      0.00      1.00		    1    3    1    1    1    5
     -0.43     -0.99     -0.70		    1    1    3    2    0    0
      0.00      0.10     -2.00		   -2    1    1    3    2    0
      0.00      1.00      2.61		   -0   -0    1    1    3    2
      0.00      0.00      2.00		   -0   -0   -0    1    1    3
      2.00      0.00      0.00		    3   -0   -0   -0    1    1
      3.00      2.00      0.00		    0    4   -0   -0   -1    1
      1.00      3.00      2.00		    0    0    5    0    0    0
      1.00      1.00      3.00		    2    0    1    0    0    0
      0.00      1.00      1.00		    3    2    0    1    1    0
      0.00      0.00      1.00		    1    3    2    0    1    2
      0.00      0.00      0.00		    1    1    3    2    0    1
      3.00      1.53      0.00		    0    1    1    3    2    0
      1.00      4.00      0.00		    0    0    1    1    3    2
      0.00      1.00      5.00		    0   -0    0    1    1    3
      2.00      1.00      0.00		    0    2   -0   -0    1    1
      3.00      2.00      1.00		    0    1   -0    0   -0    1
      1.00      3.00      2.00		    1    0    2    0    0   -0
      1.00      1.00      3.00		    2    1    0    3    0    0
      0.00      1.00      1.00		    3    2    1    0    4    0
      0.00      0.00      1.00		    1    3    2    1    0    5
      0.00      0.00      0.00		    1    1    3    2    1    1
      0.00      0.00      0.00		    0    1    1    3    2    1
      1.00      1.00      0.00		    0    0    1    1    3    2
      1.00      1.00      2.00		    0    0    0    1    1    3
      2.00      1.00      1.00		    3   -0   -0   -0    1    1
      3.00      2.00      1.00		    1    4    0   -1   -0    1
      1.00      3.00      2.00		    1    1    5    0    0    0
      1.00      1.00      3.00		    3    0    0    0    0    0
      0.00      1.00      1.00		    3    3    0    0    1    0
      0.00      0.00      1.00		    1    3    3    0    0    2
      0.00      0.00      0.00		    1    1    3    3    0    0
      3.00      0.00      0.00		    0    1    1    3    3    0
      0.00      4.00      0.00		    0    0    1    1    3    3
      0.00      0.00      5.00		    0    0    0    1    1    3
      3.00      0.00      1.00		    0    0    0    0    1    1
      3.00      3.00      0.00		    1    1    0    0    0    1
      1.00      3.00      3.00		    0    1    2    0    0    0
      1.00      1.00      3.00		    3    0    1    3    0    0
      0.00      1.00      1.00		    3    3    0    1    4    0
      0.00      0.00      1.00		    1    3    3    0    1    5
      0.00      0.00      0.00		    1    1    3    3    1    0
      0.00      0.00      0.00		    0    1    1    3    3    1
      0.00      1.00      0.00		    0    0    1    1    3    3
      1.00      0.00      2.00		    0    0    0    1    1    3
      3.00      1.00      0.00		    3    0    0    0    1    1
      3.00      3.00      1.00		    0    4    0    0    0    1
      1.00      3.00      3.00		    1    0    5    0    0    0
      1.00      1.00      3.00		    3    1    1    0    0    0
      0.00      1.00      1.00		    3    3    1    1    1    0
      0.00      0.00      1.00		    1    3    3    1    1    2
      0.00      0.00      0.00		    1    1    3    3    1    1
      3.00      0.00      0.00		    0    1    1    3    3    1
      1.00      4.00      0.00		    0    0    1    1    3    3
      1.00      1.00      5.00		    0    0    0    1    2    0
      0.00      0.00      0.00		    0    0    0    0    1    2
      0.00      0.00      0.00		    0    1    0    0    0    1
      2.00      0.00      0.00		    0    0    2    0    0    0
      1.00      2.00      0.00		    0    0    0    3    0    0
      0.00      1.00      2.00		    0    0    0    0    4    0
      0.00      0.00      1.00		    2    0    0    0    0    5
      0.00      0.00      0.00		    1    2    0    0    0    1
      0.00      0.00      0.00		    0    1    2    0    0    0
      1.00      1.00      0.00		    0    0    1    2    0    0
      0.00      1.00      2.00		    0    0    0    1    2    0
      0.00      0.00      1.00		    3    0    0    0    1    2
      0.00      0.00      0.00		    1    4    0    0    0    1
      2.00      0.00      0.00		    0    1    5    0    0    0
      1.00      2.00      0.00		    0    1    0    0    0    0
      0.00      1.00      2.00		    0    0    1    0    1    0
      0.00      0.00      1.00		    2    0    0    1    0    2
      0.00      0.00      0.00		    1    2    0    0    1    0
      3.00      0.00      0.00		    0    1    2    0    0    1
      0.00      4.00      0.00		    0    0    1    2    0    0
      1.00      0.00      5.00		    0    0    0    1    2    0
      0.00      1.00      1.00		    0    0    0    0    1    2
      0.00      0.00      1.00		    1    1    0    0    0    1
      2.00      0.00      0.00		    1    1    2    0    0    0
      1.00      2.00      0.00		    0    1    1    3    0    0
      0.00      1.00      2.00		    0    0    1    1    4    0
      0.00      0.00      1.00		    2    0    0    1    1    5
      0.00      0.00      0.00		    1    2    0    1    0    0
      0.00      0.00      0.00		    0    1    2    0    1    0
      0.00      1.00      0.00		    0    0    1    2    0    1
      0.00      0.00      2.00		    0    0    0    1    2    0
      1.00      0.00      0.00		    3    0    0    0    1    2
      0.00      1.00      0.00		    0    4    0    0    0    1
      2.00      0.00      1.00		    0    0    5    0    0    0
      1.00      2.00      0.00		    1    0    1    0    0    0
      0.00      1.00      2.00		    0    1    0    1    1    0
      0.00      0.00      1.00		    2    0    1    0    1    2
      0.00      0.00      0.00		    1    2    0    1    0    1
      3.00      0.00      0.00		    0    1    2    0    1    0
      1.00      4.00      0.00		    0    0    1    2    0    1
      0.00      1.00      5.00		    0    0    0    1    2    0
      1.00      1.00      0.00		    0    0    0    0    1    2
      0.00      1.00      1.00		    0    1    0    0    0    1
      2.00      0.00      1.00		    1    0    2    0    0    0
      1.00      2.00      0.00		    1    1    0    3    0    0
      0.00      1.00      2.00		    0    1    1    0    4    0
      0.00      0.00      1.00		    2    0    1    1    0    5
      0.00      0.00      0.00		    1    2    0    1    1    1
      0.00      0.00      0.00		    0    1    2    0    1    1
      1.00      1.00      0.00		    0    0    1    2    0    1
      1.00      1.00      2.00		    0    0    0    1    2    0
      1.00      1.00      1.00		    3    0    0    0    1    2
      0.00      1.00      1.00		    1    4    0    0    0    1
      2.00      0.00      1.00		    1    1    5    0    0    0
      1.00      2.00      0.00		    2    0    0    0    0    0
      0.00      1.00      2.00		    0    2    0    0    1    0
      0.00      0.00      1.00		    2    0    2    0    0    2
      0.00      0.00      0.00		    1    2    0    2    0    0
      3.00      0.00      0.00		    0    1    2    0    2    0
      0.00      4.00      0.00		    0    0    1    2    0    2
      0.00      0.00      5.00		    0    0    0    1    2    0
      2.00      0.00      1.00		    0    0    0    0    1    2
      0.00      2.00      0.00		    1    1    0    0    0    1
      2.00      0.00      2.00		    0    1    2    0    0    0
      1.00      2.00      0.00		    2    0    1    3    0    0
      0.00      1.00      2.00		    0    2    0    1    4    0
      0.00      0.00      1.00		    2    0    2    0    1    5
      0.00      0.00      0.00		    1    2    0    2    1    0
      0.00      0.00      0.00		    0    1    2    0    2    1
      0.00      1.00      0.00		    0    0    1    2    0    2
      1.00      0.00      2.00		    0    0    0    1    2    0
      2.00      1.00      0.00		    3    0    0    0    1    2
      0.00      2.00      1.00		    0    4    0    0    0    1
      2.00      0.00      2.00		    1    0    5    0    0    0
      1.00      2.00      0.00		    2    1    1    0    0    0
      0.00      1.00      2.00		    0    2    1    1    1    0
      0.00      0.00      1.00		    2    0    2    1    1    2
      0.00      0.00      0.00		    1    2    0    2    1    1
      3.00      0.00      0.00		    0    1    2    0    2    1
      1.00      4.00      0.00		    0    0    1    2    0    2
      1.00      1.00      5.00		    0    0    0    1    2    0
      3.00      0.00      0.00		    0    0    0    0    1    2
      0.00      3.00      0.00		    0    1    0    0    0    1
      2.00      0.00      3.00		    0    0    2    0    0    0
      1.00      2.00      0.00		    3    0    0    3    0    0
      0.00      1.00      2.00		    0    3    0    0    4    0
      0.00      0.00      1.00		    2    0    3    0    0    5
      0.00      0.00      0.00		    1    2    0    3    0    1
      0.00      0.00      0.00		    0    1    2    0    3    0
      1.00      1.00      0.00		    0    0    1    2    0    3
      0.00      1.00      2.00		    0    0    0    1    2    0
      3.00      0.00      1.00		    3    0    0    0    1    2
      0.00      3.00      0.00		    1    4    0    0    0    1
      2.00      0.00      3.00		    0    1    5    0    0    0
      1.00      2.00      0.00		    3    1    0    0    0    0
      0.00      1.00      2.00		    0    3    1    0    1    0
      0.00      0.00      1.00		    2    0    3    1    0    2
      0.00      0.00      0.00		    1    2    0    3    1    0
      3.00      0.00      0.00		    0    1    2    0    3    1
      0.00      4.00      0.00		    0    0    1    2    0    3
      1.00      0.00      5.00		    0    0    0    1    2    0
      3.00      1.00      1.00		    0    0    0    0    1    2
      0.00      3.00      1.00		    1    1    0    0    0    1
      2.00      0.00      3.00		    1    1    2    0    0    0
      1.00      2.00      0.00		    3    1    1    3    0    0
      0.00      1.00      2.00		    0    3    1    1    4    0
      0.00      0.00      1.00		    2    0    3    1    1    5
      0.00      0.00      0.00		    1    2    1    0    0    0
      0.00      0.00      0.00		    0    1    2    1    0    0
      0.00      1.00      0.00		    0    0    1    2    1    0
      0.00      0.00      2.00		    0    0    0    1    2    1
      0.00      0.00      0.00		    3    0    0    0    1    2
      1.00      0.00      0.00		    0    4    0    0    0    1
      2.00      1.00      0.00		    0    0    5    0    0    0
      1.00      2.00      1.00		    0    0    1    0    0    0
      0.00      1.00      2.00		    1    0    0    1    1    0
      0.00      0.00      1.00		    2    1    0    0    1    2
      0.00      0.00      0.00		    1    2    1    0    0    1
      3.00      0.00      0.00		    0    1    2    1    0    0
      1.00      4.00      0.00		    0    0    1    2    1    0
      0.00      1.00      5.00		    0    0    0    1    2    1
      0.00      1.00      0.00		    0    0    0    0    1    2
      1.00      0.00      1.00		    0    1    0    0    0    1
      2.00      1.00      0.00		    1    0    2    0    0    0
      1.00      2.00      1.00		    0    1    0    3    0    0
      0.00      1.00      2.00		    1    0    1    0    4    0
      0.00      0.00      1.00		    2    1    0    1    0    5
      0.00      0.00      0.00		    1    2    1    0    1    1
      0.00      0.00      0.00		    0    1    2    1    0    1
      1.00      1.00      0.00		    0    0    1    2    1    0
      1.00      1.00      2.00		    0    0    0    1    2    1
      0.00      1.00      1.00		    3    0    0    0    1    2
      1.00      0.00      1.00		    1    4    0    0    0    1
      2.00      1.00      0.00		    1    1    5   -0   -1   -1
      1.00      2.00      1.00		    1    0    0    0    4   -0
     -0.50      1.00      2.00		    1    1    0    0    1   -0
      0.26     -0.22      1.00		    2    1    1    0    0    2
     -0.41     -0.44      1.43		    1    2    1    1    0    0
      3.00     -0.25     -0.44		   -1    1    2    1    1    0
      0.00      4.00     -0.97		   -1   -1    1    2    1    1
      0.00      0.00      5.00		    0    0    0    1    2    1
      1.00      0.00      1.00		    0    0    0    0    1    2
      1.00      1.00      0.00		    1    1    0    0    0    1
      2.00      1.00      1.00		    0    1    2    0    0    0
      1.00      2.00      1.00		    1    0    1    3    0    0
      0.00      1.00      2.00		    1    1    0    1    4    0
      0.00      0.00      1.00		    2    1    1    0    1    5
     -0.30     -0.41     -0.30		    1    2    1    1    1    0
      0.00     -0.05     -0.22		   -0    1    2    1    1    1
      0.00      1.00      0.00		    0    0    1    2    1    1
      1.00      0.00      2.00		    0    0    0    1    2    1
      1.00      1.00      0.00		    3   -0    0    0    1    2
      1.00      1.00      1.00		    0    4    0    0    0    1
      2.00      1.00      1.00		    1    0    5    0    0    0
      1.00      2.00      1.00		    1    1    1    0    0    0
      0.00      1.00      2.00		    1    1    1    1    1    0
      0.00      0.00      1.00		    2    1    1    1    1    2
      0.00      0.00      0.00		    1    2    1    1    1    1
      3.00      0.00      0.00		    0    1    2    1    1    1
      1.00      4.00      0.00		    0    0    1    2    1    1
      1.00      1.00      5.00		    0    0    0    1    2    1
      2.00      0.00      0.00		    0    0    0    0    1    2
      1.00      2.00      0.00		    0    1    0    0    0    1
      2.00      1.00      2.00		    0    0    2    0    0    0
      1.00      2.00      1.00		    2    0    0    3    0    0
      0.00      1.00      2.00		    1    2    0    0    4    0
      0.00      0.00      1.00		    2    1    2    0    0    5
      0.00      0.00      0.00		    1    2    1    2    0    1
      0.00      0.00      0.00		    0    1    2    1    2    0
      1.00      1.00      0.00		    0    0    1    2    1    2
      0.00      1.00      2.00		    0    0    0    1    2    1
      2.00      0.00      1.00		    3    0    0    0    1    2
      1.00      2.00      0.00		    1    4    0    0    0    1
      2.00      1.00      2.00		    0    1    5    0    0    0
      1.00      2.00      1.00		    2    1    0    0    0    0
      0.00      1.00      2.00		    1    2    1    0    1    0
      0.00      0.00      1.00		    2    1    2    1    0    2
      0.00      0.00      0.00		    1    2    1    2    1    0
      3.00      0.00      0.00		    0    1    2    1    2    1
      0.00      4.00      0.00		    0    0    1    2    1    2
      1.00      0.00      5.00		    0    0    0    1    2    1
      2.00      1.00      1.00		    0    0    0    0    1    2
      1.00      2.00      1.00		    1    1    0    0    0    1
      2.00      1.00      2.00		    1    1    2    0    0    0
      1.00      2.00      1.00		    2    1    1    3    0    0
      0.00      1.00      2.00		    1    2    1    1    4    0
      0.00      0.00      1.00		    2    1    2    1    1    5
      0.00      0.00      0.00		    1    2    1    3    0    0
      0.00      1.26      0.00		    0    1    2    1    3    0
      0.00      1.00      0.00		    1   -0    1    2    1    3
      0.00      0.00      2.00		    0    0    0    1    2    1
      3.00      0.00      0.00		    3   -0   -0   -0    1    2
      1.00      3.00      0.00		    0    4   -0   -0   -0    1
      2.00      1.00      3.00		    0    0    5    0    0    0
      1.00      2.00      1.00		    3    0    1    0    0    0
      0.00      1.00      2.00		    1    3    0    1    1    0
      0.00      0.00      1.00		    2    1    3    0    1    2
      0.00      0.00      0.00		    1    2    1    3    0    1
      3.00      0.00      0.00		    0    1    2    1    3    0
      1.00      4.00      0.00		    0    0    1    2    1    3
      0.00      1.00      5.00		    0    0    0    1    2    1
      3.00      1.00      0.00		    0    0    0    0    1    2
      1.00      3.00      1.00		    0    1    0    0    0    1
      2.00      1.00      3.00		    1    0    2    0    0    0
      1.00      2.00      1.00		    3    1    0    3    0    0
      0.00      1.00      2.00		    1    3    1    0    4    0
      0.00      0.00      1.00		    2    1    3    1    0    5
      0.00      0.00      0.00		    1    2    1    3    1    1
      0.00      0.00      0.00		    0    1    2    1    3    1
      1.00      1.00      0.00		    0    0    1    2    1    3
      1.00      1.00      2.00		    0    0   -0    1    2    1
      3.00      1.00      1.00		    3    0    0    0    1    2
      1.00      3.00      1.00		    1    4    0    0    0    1
      2.00      1.00      3.00		    1    1    5   -1   -1   -1
      1.00      2.00      2.00		    0    0    0    0   -0   -0
     -0.40      1.00      2.00		    2    0    0    0    1   -0
      2.34     -0.37      1.00		    2    2    0    0    0    2
     -0.05     -0.15      7.12		    1    2    2    0    0    0
      3.00      2.91     -0.81		   -1    1    2    2    0    0
      0.00      4.00     -1.32		   -1   -1    1    2    2    0
      0.00      0.00      5.00		    0    0    0    1    2    2
      0.00      0.00      1.00		    0    0    0    0    1    2
      2.00      0.00      0.00		    1    1    0    0    0    1
      2.00      2.00      0.00		    0    1    2    0    0    0
      1.00      2.00      2.00		    0    0    1    3   -0   -0
     -0.15      1.00      2.00		    2    0    0    1    4    0
      0.00      0.00      1.00		    2    2    0    0    1    5
     -0.23     -0.26     -0.30		    1    2    2    0    1    0
      0.00      0.00      0.00		    0    1    2    2    0    1
      0.00      1.00      0.00		    0    0    1    2    2    0
      1.00      0.00      2.00		    0    0    0    1    2    2
      0.00      1.00      0.00		    3    0    0    0    1    2
      2.00      0.00      1.00		    0    4    0    0    0    1
      2.00      2.00      0.00		    1    0    5    0    0    0
      1.00      2.00      2.00		    0    1    1    0    0    0
      0.00      1.00      2.00		    2    0    1    1    1    0
      0.00     -0.15      1.00		    2    2    0    1    1    2
      0.00      0.00      0.00		    1    2    2    0    1    1
      3.00      0.00     -0.17		    0    1    2    2    0    1
      1.00      4.00      0.00		    0    0    1    2    2    0
      1.00      1.00      5.00		    0    0    0    1    2    2
      1.00      0.00      0.00		    0    0    0    0    1    2
      2.00      1.00      0.00		    0    1    0    0    0    1
      2.00      2.00      1.00		    0    0    2    0    0    0
      1.00      2.00      2.00		    1    0    0    3    0    0
      0.00      1.00      2.00		    2    1    0    0    4    0
      0.00      0.00      1.00		    2    2    1    0    0    5
      0.00      0.00      0.00		    1    2    2    1    0    1
      0.00      0.00      0.00		    0    1    2    2    1    0
      1.00      1.00      0.00		    0    0    1    2    2    1
      0.00      1.00      2.00		    0    0    0    1    2    2
      1.00      0.00      1.00		    3    0    0    0    1    2
      2.00      1.00      0.00		    1    4    0    0    0    1
      2.00      2.00      1.00		    0    1    5    0    0    0
      1.00      2.00      2.00		    1    1    0    0    0    0
      0.00      1.00      2.00		    2    1    1    0    1    0
      0.00      0.00      1.00		    2    2    1    1    0    2
      0.00      0.00      0.00		    1    2    2    1    1    0
      3.00      0.00      0.00		    0    1    2    2    1    1
      0.00      4.00      0.00		    0    0    1    2    2    1
      1.00      0.00      5.00		    0    0    0    1    2    2
      1.00      1.00      1.00		    0    0    0    0    1    2
      2.00      1.00      1.00		    1    1    0    0    0    1
      2.00      2.00      1.00		    1    1    2    0    0    0
      1.00      2.00      2.00		    1    1    1    3    0    0
      0.00      1.00      2.00		    2    1    1    1    4    0
      0.00      0.00      1.00		    2    2    1    1    1    5
      0.64     -4.52     -3.64		    1    2    2    2    0    0
      0.00     -3.82     -2.00		    3    1    2    2    2    0
      0.00      1.00     -2.43		   -2   10    1    2    2    2
      0.00      0.00      2.00		    7   -1   -3    1    2    2
      2.00      0.00      0.00		    3    8   -2   -2    1    2
      2.00      2.00      0.00		    0    4   -2    0   -2    1
      2.00      2.00      2.00		    0    0    5    0    0    0
      1.00      2.00      2.00		    2    0    1    0    0    0
      0.00      1.00      2.00		    2    2    0    1    1    0
      0.00      0.00      1.00		    2    2    2    0    1    2
      1.14      0.00      0.00		    1    2    2    2    0    1
      3.00     -0.66     -0.19		   -0    1    2    2    2    0
      1.00      4.00      0.00		    0    0    1    2    2    2
      0.00      1.00      5.00		   -0    0   -0    1    2    2
      2.00      1.00      0.00		    0    0   -0    6    1    2
      2.00      2.00      1.00		    0    1   -0   -0   25    1
      2.00      2.00      2.00		    1    0    2   -0   -0   16
      1.00      2.00      2.00		    2    1    0    3   -1   -0
     11.95      1.00      2.00		    2    2    1    0    4   -0
     -0.54     -0.44      1.00		    2    2    2    1    0    5
      0.00      0.22      0.00		    1    2    2    2    1    1
      0.00      0.29      0.31		    2    1    2    2    2    1
      1.00      1.00      0.00		   57    0    1    2    2    2
      1.00      1.00      2.00		    0    0    0    1    2    2
      2.00      1.00      1.00		    3   -1   -0   -0    1    2
      2.00      2.00      1.00		    1    4   -0   -0   -0    1
      2.00      2.00      2.00		    1    1    5   -0   -1   -2
      1.00      2.00      2.00		    3    0    0    0    5   -1
     -0.51      1.00      2.00		    2    3    0    0    1    0
      0.65      1.71      1.00		    2    2    3    0    0    2
     -0.34     -0.48      3.60		    1    2    2    3    0    0
      3.00     -0.31     -0.26		   -0    1    2    2    3    0
      0.00      4.00      4.05		   -1   -1    1    2    2    3
      0.00      0.00      5.00		    0    0    0    1    2    2
      3.00      0.00      1.00		    0    0    0    0    1    2
      2.00      3.00      0.00		    1    1    0    0    0    1
      2.00      2.00      3.00		    0    1    2    0    0    0
      1.00      2.00      2.00		    3    0    1    3    0    0
      0.00      1.00      2.00		    2    3    0    1    4    0
      0.00      0.00      1.00		    2    2    3    0    1    5
      0.00      0.00      0.00		    1    2    2    3    1    0
      0.00      0.00      0.00		   -0    1    2    2    3    1
      0.00      1.00      0.00		    0   -0    1    2    2    3
      1.00      0.00      2.00		    0    0    0    1    2    2
      3.00      1.00      0.00		    3    0    0   -0    1    2
      2.00      3.00      1.00		    0    4    0    0    0    1
      2.00      2.00      3.00		    1    0    5    0    0    0
      1.00      2.00      2.00		    3    1    1    0    0    0
      0.00      1.00      2.00		    2    3    1    1    1    0
      0.00      0.00      1.00		    2    2    3    1    1    2
      0.00      0.00      0.00		    1    2    2    3    1    1
      3.00      0.00      0.00		    0    1    2    2    3    1
      1.00      4.00      0.00		    0    0    1    2    2    3
      1.00      1.00      5.00		    0    0    0    1    2    3
      0.00      0.00      0.00		    0    0    0    0    1    2
      3.00      0.00      0.00		    0    1    0    0    0    1
      2.00      3.00      0.00		    0    0    2    0    0    0
      1.00      2.00      3.00		    0    0    0    3    0    0
      0.00      1.00      2.00		    3    0    0    0    4    0
      0.00      0.00      1.00		    2    3    0    0    0    5
      0.00      0.00      0.00		    1    2    3    0    0    1
      0.00      0.00      0.00		    0    1    2    3    0    0
      1.00      1.00      0.00		    0    0    1    2    3    0
      0.00      1.00      2.00		    0    0    0    1    2    3
      0.00      0.00      1.00		    3    0    0    0    1    2
      3.00      0.00      0.00		    1    4    0    0    0    1
      2.00      3.00      0.00		    0    1    5    0    0    0
      1.00      2.00      3.00		    0    1    0    0    0    0
      0.00      1.00      2.00		    3    0    1    0    1    0
      0.00      0.00      1.00		    2    3    0    1    0    2
      0.00      0.00      0.00		    1    2    3    0    1    0
      3.00      0.00      0.00		    0    1    2    3    0    1
      0.00      4.00      0.00		    0    0    1    2    3    0
      1.00      0.00      5.00		    0    0    0    1    2    3
      0.00      1.00      1.00		    0    0    0    0    1    2
      3.00      0.00      1.00		    1    1    0    0    0    1
      2.00      3.00      0.00		    1    1    2    0    0    0
      1.00      2.00      3.00		    0    1    1    3    0    0
      0.00      1.00      2.00		    3    0    1    1    4    0
      0.00      0.00      1.00		    2    3    0    1    1    5
      0.00      0.00      0.00		    1    2    3    1    0    0
      0.00      0.00      0.00		    0    1    2    3    1    0
      0.00      1.00      0.00		    0    0    1    2    3    1
      0.00      0.00      2.00		    0    0    0    1    2    3
      1.00      0.00      0.00		    3    0    0    0    1    2
      3.00      1.00      0.00		    0    4    0    0    0    1
      2.00      3.00      1.00		    0    0    5    0    0    0
      1.00      2.00      3.00		    1    0    1    0    0    0
      0.00      1.00      2.00		    3    1    0    1    1    0
      0.00      0.00      1.00		    2    3    1    0    1    2
      0.00      0.00      0.00		    1    2    3    1    0    1
      3.00      0.00      0.00		    0    1    2    3    1    0
      1.00      4.00      0.00		    0    0    1    2    3    1
      0.00      1.00      5.00		    0    0    0    1    2    3
      1.00      1.00      0.00		    0    0    0    0    1    2
      3.00      1.00      1.00		    0    1    0    0    0    1
      2.00      3.00      1.00		    1    0    2    0    0    0
      1.00      2.00      3.00		    1    1    0    3    0    0
      0.00      1.00      2.00		    3    1    1    0    4    0
      0.00      0.00      1.00		    2    3    1    1    0    5
      0.00      0.00      0.00		    1    2    3    1    1    1
      0.00      0.00      0.00		    0    1    2    3    1    1
      1.00      1.00      0.00		    0    0    1    2    3    1
      1.00      1.00      2.00		    0    0    0    1    2    3
      1.00      1.00      1.00		    3    0    0    0    1    2
      3.00      1.00      1.00		    1    4    0    0    0    1
      2.00      3.00      1.00		    1    1    5    0    0    0
      1.00      2.00      3.00		    2    0    0    0   -0    0
     -0.34      1.00      2.00		    3    2    0    0    1    0
      0.17     -0.04      1.00		    2    3    2    0    0    2
      0.00      0.32      0.00		    1    2    3    2    0    0
      3.00      0.00     -0.51		    0    1    2    3    2    0
      0.00      4.00      0.00		   -0    0    1    2    3    2
      0.00      0.00      5.00		    0    0    0    1    2    3
      2.00      0.00      1.00		    0    0    0    0    1    2
      3.00      2.00      0.00		    1    1    0    0    0    1
      2.00      3.00      2.00		    0    1    2    0    0    0
      1.00      2.00      3.00		    2    0    1    3    0    0
      0.00      1.00      2.00		    3    2    0    1    4    0
      0.00      0.00      1.00		    2    3    2    0    1    5
      0.00      0.00      0.00		    1    2    3    2    1    0
      0.00      0.00      0.41		    0    1    2    3    2    1
      0.00      1.00      0.00		    0    0    1    2    3    2
      1.00      0.00      2.00		    0    0    0    1    2    3
      2.00      1.00      0.00		    3    0    0    0    1    2
      3.00      2.00      1.00		    0    4    0    0    0    1
      2.00      3.00      2.00		    1    0    5    0    0    0
      1.00      2.00      3.00		    2    1    1    0    0    0
      0.00      1.00      2.00		    3    2    1    1    1    0
      0.00      0.00      1.00		    2    3    2    1    1    2
      0.00      0.00      0.00		    1    2    3    2    1    1
      3.00      0.00      0.00		    0    1    2    3    2    1
      1.00      4.00      0.00		    0    0    1    2    3    2
      1.00      1.00      5.00		    0    0    0    1    2    3
      3.00      0.00      0.00		    0   -0   -0    0    1    2
      3.00      3.00      0.00		    0    1    0    0    0    1
      2.00      3.00      3.00		    0    0    2    0    0    0
      1.00      2.00      3.00		    3    0    0    3    0    0
      0.00      1.00      2.00		    3    3    0    0    4    0
      0.00      0.00      1.00		    2    3    3    0    0    5
      0.00      0.00      0.00		    1    2    3    3    0    1
      0.00      0.00      0.00		    0    1    2    3    3    0
      1.00      1.00      0.00		    0    0    1    2    3    3
      0.00      1.00      2.00		    0    0    0    1    2    3
      3.00      0.00      1.00		    3    0    0    0    1    2
      3.00      3.00      0.00		    1    4    0    0    0    1
      2.00      3.00      3.00		    0    1    5    0    0    0
      1.00      2.00      3.00		    3    1    0    0    0    0
      0.00      1.00      2.00		    3    3    1    0    1    0
      0.00      0.00      1.00		    2    3    3    1    0    2
      0.00      0.00      0.00		    1    2    3    3    1    0
      3.00      0.00      0.00		    0    1    2    3    3    1
      0.00      4.00      0.00		    0    0    1    2    3    3
